KABUPATEN_KOTA	KECAMATAN	KELURAHAN_DESA	KODE_POS
Kota Surabaya	Dukuh Pakis	Gunung Sari	60224
Kota Surabaya	Dukuh Pakis	Dukuh Pakis	60225
Kota Surabaya	Dukuh Pakis	Dukuh Kupang	60225
Kota Surabaya	Dukuh Pakis	Pradah Kalikendal	60226
Kabupaten Sidoarjo	Sidoarjo (Kota)	Magersari	61211
Kabupaten Sidoarjo	Sidoarjo (Kota)	Pucang	61219
Kabupaten Sidoarjo	Sidoarjo (Kota)	Lemahputro	61213
Kabupaten Sidoarjo	Sidoarjo (Kota)	Sidokumpul	61218
Kabupaten Sidoarjo	Sidoarjo (Kota)	Celep	61215
Kabupaten Sidoarjo	Sidoarjo (Kota)	Kemiri	61234
Kabupaten Sidoarjo	Sidoarjo (Kota)	Sidokare	61214
Kabupaten Sidoarjo	Sidoarjo (Kota)	Bulusidokare	61216
Kabupaten Sidoarjo	Sidoarjo (Kota)	Sekardangan	61217
Kabupaten Sidoarjo	Sidoarjo (Kota)	Bluru Kidul	61233
Kabupaten Sidoarjo	Sidoarjo (Kota)	Sarirogo	61234
Kabupaten Sidoarjo	Sidoarjo (Kota)	Sidomulyo	61212
Kabupaten Sidoarjo	Sidoarjo (Kota)	Sumput	61234
Kabupaten Sidoarjo	Sidoarjo (Kota)	Rangkah Kidul	61232
Kabupaten Sidoarjo	Sidoarjo (Kota)	Urangagung	61225
Kabupaten Sidoarjo	Sidoarjo (Kota)	Gebang	61231
Kota Surabaya	Gubeng	Barata Jaya	60284
Kota Surabaya	Gubeng	Pucangsewu	60283
Kota Surabaya	Gubeng	Kertajaya	60282
Kota Surabaya	Gubeng	Airlangga	60286
Kota Surabaya	Gubeng	Gubeng	60281
Kota Surabaya	Gubeng	Mojo	60285
Kota Surabaya	Sukolilo	Semolowaru	60119
Kota Surabaya	Sukolilo	Nginden Jangkungan	60118
Kota Surabaya	Sukolilo	Menur Pumpungan	60118
Kota Surabaya	Sukolilo	Klampis Ngasem	60117
Kota Surabaya	Sukolilo	Medokan Semampir	60119
Kota Surabaya	Sukolilo	Gebang Putih	60117
Kota Surabaya	Sukolilo	Keputih	60111
Kota Surabaya	Tegalsari	Keputran	60265
Kota Surabaya	Tegalsari	Wonorejo	60263
Kota Surabaya	Tegalsari	Tegalsari	60261
Kota Surabaya	Tegalsari	Dr. Soetomo	60264
Kota Surabaya	Tegalsari	Kedungdoro	60262
Kota Surabaya	Sawahan	Pakis	60256
Kota Surabaya	Sawahan	Sawahan	60251
Kota Surabaya	Sawahan	Putat Jaya	60255
Kota Surabaya	Sawahan	Banyu Urip	60254
Kota Surabaya	Sawahan	Petemon	60252
Kota Surabaya	Sawahan	Kupang Krajan	60253
Kabupaten Sidoarjo	Candi	Sumokali	61271
Kabupaten Sidoarjo	Candi	Tenggulunan	61271
Kabupaten Sidoarjo	Candi	Candi	61271
Kabupaten Sidoarjo	Candi	Bligo	61271
Kabupaten Sidoarjo	Candi	Larangan	61271
Kabupaten Sidoarjo	Candi	Sugihwaras	61271
Kabupaten Sidoarjo	Candi	Gelam	61271
Kabupaten Sidoarjo	Candi	Wedi	61271
Kabupaten Sidoarjo	Candi	Ngampelsari	61271
Kabupaten Sidoarjo	Candi	Balongpoh	61271
Kabupaten Sidoarjo	Candi	Karangtanjung	61271
Kabupaten Sidoarjo	Candi	Kebonsari	61271
Kabupaten Sidoarjo	Candi	Klurak	61271
Kabupaten Sidoarjo	Candi	Samanhudi	61271
Kabupaten Sidoarjo	Candi	Sidodadi	61271
Kabupaten Sidoarjo	Candi	Durungbedug	61271
Kabupaten Sidoarjo	Candi	Durungbanjar	61271
Kabupaten Sidoarjo	Candi	Kedungkendo	61271
Kabupaten Sidoarjo	Candi	Pangkemiri	61271
Kabupaten Sidoarjo	Candi	Wedoroklurak	61271
Kabupaten Sidoarjo	Candi	Balonggabus	61271
Kabupaten Sidoarjo	Candi	Kedungpeluk	61271
Kabupaten Sidoarjo	Candi	Resongo	61271
Kabupaten Sidoarjo	Wonoayu	Popoh	61261
Kabupaten Sidoarjo	Wonoayu	Wonoayu	61261
Kabupaten Sidoarjo	Wonoayu	Sawocangkring	61261
Kabupaten Sidoarjo	Wonoayu	Jimbaran Wetan	61261
Kabupaten Sidoarjo	Wonoayu	Jimbaran Kulon	61261
Kabupaten Sidoarjo	Wonoayu	Mulyodadi	61261
Kabupaten Sidoarjo	Wonoayu	Lambangan	61261
Kabupaten Sidoarjo	Wonoayu	Ketimang	61261
Kabupaten Sidoarjo	Wonoayu	Semambung	61261
Kabupaten Sidoarjo	Wonoayu	Karangpuri	61261
Kabupaten Sidoarjo	Wonoayu	Candinegoro	61261
Kabupaten Sidoarjo	Wonoayu	Becirongengor	61261
Kabupaten Sidoarjo	Wonoayu	Pagerngumbuk	61261
Kabupaten Sidoarjo	Wonoayu	Ploso	61261
Kabupaten Sidoarjo	Wonoayu	Tanggungan	61261
Kabupaten Sidoarjo	Wonoayu	Wonokalang	61261
Kabupaten Sidoarjo	Wonoayu	Simo Wetan	61261
Kabupaten Sidoarjo	Wonoayu	Simo Kulon	61261
Kabupaten Sidoarjo	Krian	Barengkrajan	61262
Kabupaten Sidoarjo	Krian	Sidomojo	61262
Kabupaten Sidoarjo	Krian	Keboharan	61262
Kabupaten Sidoarjo	Krian	Ponokawan	61262
Kabupaten Sidoarjo	Krian	Kemasan	61262
Kabupaten Sidoarjo	Krian	Jerukgamping	61262
Kabupaten Sidoarjo	Krian	Katerungan	61262
Kabupaten Sidoarjo	Krian	Krian	61262
Kabupaten Sidoarjo	Krian	Tambakakrik	61262
Kabupaten Sidoarjo	Krian	Kraton	61262
Kabupaten Sidoarjo	Krian	Gamping	61262
Kabupaten Sidoarjo	Krian	Junwangi	61262
Kabupaten Sidoarjo	Krian	Sidorejo	61262
Kabupaten Sidoarjo	Krian	Sedenganmijen	61262
Kabupaten Sidoarjo	Krian	Sidomulyo	61262
Kabupaten Sidoarjo	Krian	Jatikalang	61262
Kabupaten Sidoarjo	Krian	Terungkulon	61262
Kabupaten Sidoarjo	Krian	Terungwetan	61262
Kabupaten Sidoarjo	Krian	Terik	61262
Kota Surabaya	Genteng	Embong Kaliasin	60271
Kota Surabaya	Genteng	Ketabang	60272
Kota Surabaya	Genteng	Genteng	60275
Kota Surabaya	Genteng	Peneleh	60274
Kota Surabaya	Genteng	Kapasari	60273
Kota Surabaya	Mulyorejo	Manyar Sabrangan	60116
Kota Surabaya	Mulyorejo	Mulyorejo	60115
Kota Surabaya	Mulyorejo	Kalijudan	60114
Kota Surabaya	Mulyorejo	Dukuh Sutorejo	60113
Kota Surabaya	Mulyorejo	Kalisari	60112
Kota Surabaya	Mulyorejo	Kejawan Putih Tambak	60112
Kota Surabaya	Sukomanunggal	Sonokwijenan	60189
Kota Surabaya	Sukomanunggal	Putat Gede	60189
Kota Surabaya	Sukomanunggal	Sukomanunggal	60188
Kota Surabaya	Sukomanunggal	Simomulyo	60181
Kota Surabaya	Sukomanunggal	Simomulyo Baru	60181
Kota Surabaya	Sukomanunggal	Tanjungsari	60187
Kota Surabaya	Lakarsantri	Sumur Welut	60215
Kota Surabaya	Lakarsantri	Bangkingan	60214
Kota Surabaya	Lakarsantri	Jeruk	60212
Kota Surabaya	Lakarsantri	Lakarsantri	60211
Kota Surabaya	Lakarsantri	Lidah Kulon	60213
Kota Surabaya	Lakarsantri	Lidah Wetan	60213
Kota Surabaya	Bubutan	Tembok Dukuh	60172
Kota Surabaya	Bubutan	Bubutan	60174
Kota Surabaya	Bubutan	Alun-Alun Contong	60174
Kota Surabaya	Bubutan	Gundih	60172
Kota Surabaya	Bubutan	Jepara	60171
Kota Surabaya	Simokerto	Tambak Rejo	60142
Kota Surabaya	Simokerto	Simokerto	60143
Kota Surabaya	Simokerto	Sidodadi	60145
Kota Surabaya	Simokerto	Kapasan	60141
Kota Surabaya	Simokerto	Simolawang	60144
Kota Surabaya	Tambaksari	Pacarkeling	60131
Kota Surabaya	Tambaksari	Pacarkembang	60132
Kota Surabaya	Tambaksari	Ploso	60133
Kota Surabaya	Tambaksari	Tambaksari	60136
Kota Surabaya	Tambaksari	Rangkah	60135
Kota Surabaya	Tambaksari	Gading	60134
Kota Surabaya	Tambaksari	Kapasmadya Baru	60137
Kota Surabaya	Tambaksari	Dukuh Setro	60137
Kota Surabaya	Sambikerep	Lontar	60216
Kota Surabaya	Sambikerep	Sambikerep	60217
Kota Surabaya	Sambikerep	Bringin	60218
Kota Surabaya	Sambikerep	Made	60219
Kota Surabaya	Tandes	Karang Poh	60185
Kota Surabaya	Tandes	Tandes	60187
Kota Surabaya	Tandes	Balongsari	60186
Kota Surabaya	Tandes	Manukan Wetan	60185
Kota Surabaya	Tandes	Manukan Kulon	60185
Kota Surabaya	Tandes	Banjar Sugihan	60184
Kota Surabaya	Asemrowo	Asemrowo	60182
Kota Surabaya	Asemrowo	Genting Kalianak	60183
Kota Surabaya	Asemrowo	Tambak Sarioso	60184
Kabupaten Sidoarjo	Tanggulangin	Ngaban	61272
Kabupaten Sidoarjo	Tanggulangin	Kedensari	61272
Kabupaten Sidoarjo	Tanggulangin	Tanggulangin	61272
Kabupaten Sidoarjo	Tanggulangin	Kludan	61272
Kabupaten Sidoarjo	Tanggulangin	Kalitengah	61272
Kabupaten Sidoarjo	Tanggulangin	Kalisampurno	61272
Kabupaten Sidoarjo	Tanggulangin	Boro	61272
Kabupaten Sidoarjo	Tanggulangin	Ketegan	61272
Kabupaten Sidoarjo	Tanggulangin	Randegan	61272
Kabupaten Sidoarjo	Tanggulangin	Sentul	61272
Kabupaten Sidoarjo	Tanggulangin	Putat	61272
Kabupaten Sidoarjo	Tanggulangin	Ganggangpanjang	61272
Kabupaten Sidoarjo	Tanggulangin	Banjarasri	61272
Kabupaten Sidoarjo	Tanggulangin	Kedungbendo	61272
Kabupaten Sidoarjo	Tanggulangin	Kalidawir	61272
Kabupaten Sidoarjo	Tanggulangin	Kedungbanteng	61272
Kabupaten Sidoarjo	Tanggulangin	Banjarpanji	61272
Kabupaten Sidoarjo	Tanggulangin	Penatarsewu	61272
Kabupaten Sidoarjo	Tulangan	Kemantren	61273
Kabupaten Sidoarjo	Tulangan	Tulangan	61273
Kabupaten Sidoarjo	Tulangan	Kepadangan	61273
Kabupaten Sidoarjo	Tulangan	Kajeksan	61273
Kabupaten Sidoarjo	Tulangan	Kebaron	61273
Kabupaten Sidoarjo	Tulangan	Sudimoro	61273
Kabupaten Sidoarjo	Tulangan	Modong	61273
Kabupaten Sidoarjo	Tulangan	Jiken	61273
Kabupaten Sidoarjo	Tulangan	Singopadu	61273
Kabupaten Sidoarjo	Tulangan	Tlasih	61273
Kabupaten Sidoarjo	Tulangan	Griting	61273
Kabupaten Sidoarjo	Tulangan	Buko	61273
Kabupaten Sidoarjo	Tulangan	Pangkemiri	61273
Kabupaten Sidoarjo	Tulangan	Kedungbanteng	61273
Kabupaten Sidoarjo	Prambon	Simogirang	61264
Kabupaten Sidoarjo	Prambon	Simoangin-angin	61264
Kabupaten Sidoarjo	Prambon	Wirobiting	61264
Kabupaten Sidoarjo	Prambon	Prambon	61264
Kabupaten Sidoarjo	Prambon	Bulang	61264
Kabupaten Sidoarjo	Prambon	Bendotretek	61264
Kabupaten Sidoarjo	Prambon	Temu	61264
Kabupaten Sidoarjo	Prambon	Watutulis	61264
Kabupaten Sidoarjo	Prambon	Pehkulon	61264
Kabupaten Sidoarjo	Prambon	Jedongcangkring	61264
Kabupaten Sidoarjo	Prambon	Wonoplintahan	61264
Kabupaten Sidoarjo	Prambon	Kajartrengguli	61264
Kabupaten Sidoarjo	Prambon	Kedungwonokerto	61264
Kabupaten Sidoarjo	Prambon	Kedungkembar	61264
Kabupaten Sidoarjo	Prambon	Gadingmangu	61264
Kabupaten Sidoarjo	Balongbendo	Jabaran	61263
Kabupaten Sidoarjo	Balongbendo	Balongbendo	61263
Kabupaten Sidoarjo	Balongbendo	Wonokupang	61263
Kabupaten Sidoarjo	Balongbendo	Seduri	61263
Kabupaten Sidoarjo	Balongbendo	Kemangsen	61263
Kabupaten Sidoarjo	Balongbendo	Penambangan	61263
Kabupaten Sidoarjo	Balongbendo	Seketi	61263
Kabupaten Sidoarjo	Balongbendo	Watesari	61263
Kabupaten Sidoarjo	Balongbendo	Sumokembangsri	61263
Kabupaten Sidoarjo	Balongbendo	Jeruklegi	61263
Kabupaten Sidoarjo	Balongbendo	Suwaluh	61263
Kabupaten Sidoarjo	Balongbendo	Bakalan Wringinpitu	61263
Kabupaten Sidoarjo	Balongbendo	Bogempinggiran	61263
Kabupaten Sidoarjo	Balongbendo	Kedungsukodani	61263
Kabupaten Sidoarjo	Balongbendo	Singkalan	61263
Kabupaten Sidoarjo	Balongbendo	Pagerngumbuk	61263
Kabupaten Sidoarjo	Balongbendo	Waruberon	61263
Kabupaten Sidoarjo	Balongbendo	Bakung Temenggungan	61263
Kabupaten Sidoarjo	Porong	Siring	61274
Kabupaten Sidoarjo	Porong	Mindi	61274
Kabupaten Sidoarjo	Porong	Gedang	61274
Kabupaten Sidoarjo	Porong	Porong	61274
Kabupaten Sidoarjo	Porong	Juwetkenongo	61274
Kabupaten Sidoarjo	Porong	Pamotan	61274
Kabupaten Sidoarjo	Porong	Plumbon	61274
Kabupaten Sidoarjo	Porong	Glagaharum	61274
Kabupaten Sidoarjo	Porong	Candipari	61274
Kabupaten Sidoarjo	Porong	Wunut	61274
Kabupaten Sidoarjo	Porong	Kebonagung	61274
Kabupaten Sidoarjo	Porong	Lajuk	61274
Kabupaten Sidoarjo	Porong	Pesawahan	61274
Kabupaten Sidoarjo	Porong	Kedungbendo	61274
Kabupaten Sidoarjo	Porong	Kesambi	61274
Kabupaten Sidoarjo	Porong	Kedungsolo	61274
Kabupaten Sidoarjo	Krembung	Krembung	61275
Kabupaten Sidoarjo	Krembung	Cangkring	61275
Kabupaten Sidoarjo	Krembung	Keper	61275
Kabupaten Sidoarjo	Krembung	Keret	61275
Kabupaten Sidoarjo	Krembung	Mojoruntut	61275
Kabupaten Sidoarjo	Krembung	Gading	61275
Kabupaten Sidoarjo	Krembung	Rejeni	61275
Kabupaten Sidoarjo	Krembung	Lemujut	61275
Kabupaten Sidoarjo	Krembung	Jenggot	61275
Kabupaten Sidoarjo	Krembung	Ploso	61275
Kabupaten Sidoarjo	Krembung	Wangkal	61275
Kabupaten Sidoarjo	Krembung	Tambakrejo	61275
Kabupaten Sidoarjo	Krembung	Kandangan	61275
Kabupaten Sidoarjo	Krembung	Tanjekwagir	61275
Kabupaten Sidoarjo	Krembung	Wonomlati	61275
Kabupaten Sidoarjo	Tarik	Mergosari	61265
Kabupaten Sidoarjo	Tarik	Mergobener	61265
Kabupaten Sidoarjo	Tarik	Tarik	61265
Kabupaten Sidoarjo	Tarik	Janti	61265
Kabupaten Sidoarjo	Tarik	Kalimati	61265
Kabupaten Sidoarjo	Tarik	Banjarwungu	61265
Kabupaten Sidoarjo	Tarik	Singogalih	61265
Kabupaten Sidoarjo	Tarik	Kemuning	61265
Kabupaten Sidoarjo	Tarik	Mindugading	61265
Kabupaten Sidoarjo	Tarik	Gampingrowo	61265
Kabupaten Sidoarjo	Tarik	Kramattemanggung	61265
Kabupaten Sidoarjo	Tarik	Kedungbocok	61265
Kabupaten Sidoarjo	Tarik	Mulyodadi	61265
Kabupaten Sidoarjo	Jabon	Jabon	61276
Kabupaten Sidoarjo	Jabon	Dukuhsari	61276
Kabupaten Sidoarjo	Jabon	Trompoasri	61276
Kabupaten Sidoarjo	Jabon	Panggreh	61276
Kabupaten Sidoarjo	Jabon	Balongtani	61276
Kabupaten Sidoarjo	Jabon	Pejarakan	61276
Kabupaten Sidoarjo	Jabon	Permisan	61276
Kabupaten Sidoarjo	Jabon	Kedungcangkring	61276
Kabupaten Sidoarjo	Jabon	Kedungpandan	61276
Kabupaten Sidoarjo	Jabon	Kupang	61276
Kabupaten Sidoarjo	Jabon	Semambung	61276
Kabupaten Sidoarjo	Jabon	Tambakkalangan	61276
Kabupaten Sidoarjo	Jabon	Kupang Baru	61276
Kabupaten Sidoarjo	Jabon	Besuki	61276
Kota Surabaya	Pabean Cantian	Bongkaran	60161
Kota Surabaya	Pabean Cantian	Nyamplungan	60162
Kota Surabaya	Pabean Cantian	Krembangan Utara	60163
Kota Surabaya	Pabean Cantian	Perak Utara	60165
Kota Surabaya	Pabean Cantian	Tanjung Perak	60165
Kota Surabaya	Krembangan	Dupak	60179
Kota Surabaya	Krembangan	Kemayoran	60176
Kota Surabaya	Krembangan	Krembangan Selatan	60175
Kota Surabaya	Krembangan	Perak Barat	60177
Kota Surabaya	Krembangan	Morokrembangan	60178
Kota Surabaya	Semampir	Sidotopo	60152
Kota Surabaya	Semampir	Ampel	60151
Kota Surabaya	Semampir	Pegirian	60153
Kota Surabaya	Semampir	Wonokusumo	60154
Kota Surabaya	Semampir	Ujung	60155
Kota Surabaya	Kenjeran	Tanah Kalikedinding	60129
Kota Surabaya	Kenjeran	Sidotopo Wetan	60128
Kota Surabaya	Kenjeran	Bulakbanteng	60127
Kota Surabaya	Kenjeran	Tambakwedi	60126
Kota Surabaya	Bulak	Sukolilo Baru	60122
Kota Surabaya	Bulak	Bulak	60124
Kota Surabaya	Bulak	Kedungcowek	60125
Kota Surabaya	Bulak	Kenjeran	60123
Kota Surabaya	Pakal	Babat Jerawat	60197
Kota Surabaya	Pakal	Pakal	60196
Kota Surabaya	Pakal	Sumberejo	60198
Kota Surabaya	Pakal	Benowo	60195
Kota Surabaya	Benowo	Kandangan	60199
Kota Surabaya	Benowo	Sememi	60198
Kota Surabaya	Benowo	Tambak Osowilangun	60191
Kota Surabaya	Benowo	Romokalisari	60192
